pid,creator,filename,label,_date,description,_tags,edition,object_type,location,order,layout,collection,thumbnail,full,manifest
obj01,Guillermo Thorndike; Angel Avendano,ARI_QANWANMI_KASAQ.pdf,Ari: Qanwanmi Kasaq," 3 Jun, 1975",,,1,Periódico,"Lima, Peru ",0,cronicawan_item,cronicawan,"/img/derivatives/iiif/images/obj01_0/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj01_0/full/1140,/0/default.jpg",/img/derivatives/iiif/obj01/manifest.json
obj02,Guillermo Thorndike; Angel Avendano,KURAQYASHANMI_KALLPANCHIS.pdf,Revolusiunmi sunqunchista phutuchin: Kuraqyashanmi Kallpanchis," 10 Jun, 1975",,,2,Periódico,"Lima, Peru ",1,cronicawan_item,cronicawan,"/img/derivatives/iiif/images/obj02_00/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj02_00/full/1140,/0/default.jpg",/img/derivatives/iiif/obj02/manifest.json
obj11,Luis Gonzales Posada,BAYOVAR_APU_THASKIYWAN.pdf,Bayovar: Apu Thaskiywan," 12 Aug, 1975",,,11,Periódico,"Lima, Peru ",10,cronicawan_item,cronicawan,"/img/derivatives/iiif/images/obj11_00/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj11_00/full/1140,/0/default.jpg",/img/derivatives/iiif/obj11/manifest.json
obj12,Luis Gonzales Posada,cronicawan 12 yupana.pdf,12 Yupana," 26 Aug, 1975",,,12,Revista,"Lima, Peru ",11,cronicawan_item,cronicawan,"/img/derivatives/iiif/images/obj12_00/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj12_00/full/1140,/0/default.jpg",/img/derivatives/iiif/obj12/manifest.json
obj13,Hernando Aguirre Gamio; Angel Avendaño,cronicawan 14 yupana.pdf,Qhari Chakiwan Yapusun," 9 Sep, 1975",,,14,Revista,"Lima, Peru ",12,cronicawan_item,cronicawan,"/img/derivatives/iiif/images/obj13_00/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj13_00/full/1140,/0/default.jpg",/img/derivatives/iiif/obj13/manifest.json
obj14,Hernando Aguirre Gamio; Angel Avendaño,cronicawan 15 yupana.pdf,Qaynamanta Aswan Pukarasqa," 16 Sep, 1975",,,15,Revista,"Lima, Peru ",13,cronicawan_item,cronicawan,"/img/derivatives/iiif/images/obj14_00/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj14_00/full/1140,/0/default.jpg",/img/derivatives/iiif/obj14/manifest.json
obj15,Hernando Aguirre Gamio; Angel Avendaño,cronicawan 16 yupana.pdf,Q'ayapaq Ñanta Kichaspa," 23 Sep, 1975",,,16,Revista,"Lima, Peru ",14,cronicawan_item,cronicawan,"/img/derivatives/iiif/images/obj15_00/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj15_00/full/1140,/0/default.jpg",/img/derivatives/iiif/obj15/manifest.json
obj03,Guillermo Thorndike; Angel Avendaño,TUPAQ AMARU QANLLA QAYLLA.pdf,¡Tupaq Amaru Qanlla Qaylla!," 17 Jun, 1975",,,3,Periódico,"Lima, Peru ",2,cronicawan_item,cronicawan,"/img/derivatives/iiif/images/obj03_00/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj03_00/full/1140,/0/default.jpg",/img/derivatives/iiif/obj03/manifest.json
obj04,Guillermo Thorndike; Angel Avendaño,WINAYPAQ_SAYARIYKU.pdf,Wiñaypaq Sayariyku," 24 Jun, 1975",,,4,Periódico,"Lima, Peru ",3,cronicawan_item,cronicawan,"/img/derivatives/iiif/images/obj04_00/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj04_00/full/1140,/0/default.jpg",/img/derivatives/iiif/obj04/manifest.json
obj05,Guillermo Thorndike; Angel Avendaño,ALLPAWA_KAWSAYMI.pdf,Allpaqa Kawsaymi," 30 Jun, 1975",,,5,Periódico,"Lima, Peru ",4,cronicawan_item,cronicawan,"/img/derivatives/iiif/images/obj05_00/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj05_00/full/1140,/0/default.jpg",/img/derivatives/iiif/obj05/manifest.json
obj06,Guillermo Thorndike; Angel Avendaño,LLANKASPAN_HATUNYANANCHIS.pdf,Llank'aspan Hatunyananchis," 8 Jul, 1975",,,6,Periódico,"Lima, Peru ",5,cronicawan_item,cronicawan,"/img/derivatives/iiif/images/obj06_00/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj06_00/full/1140,/0/default.jpg",/img/derivatives/iiif/obj06/manifest.json
obj07,Guillermo Thorndike; Angel Avendaño,WINAQ_WAYNAKUNAWANMI_SAMINCHIS_CHAYAMUSHAN.pdf,Wiñaq Waynakunawanmi Saminchis Chayamushan," 15 Jul, 1975",,,7,Periódico,"Lima, Peru ",6,cronicawan_item,cronicawan,"/img/derivatives/iiif/images/obj07_00/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj07_00/full/1140,/0/default.jpg",/img/derivatives/iiif/obj07/manifest.json
obj08,Guillermo Thorndike; Angel Avendaño,PAYPAQMI_PAQARIMUN_REVOLUSION.pdf,Paypaqmi Paqarimun Revolusiun," 22 Jul, 1975",,,8,Periódico,"Lima, Peru ",7,cronicawan_item,cronicawan,"/img/derivatives/iiif/images/obj08_00/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj08_00/full/1140,/0/default.jpg",/img/derivatives/iiif/obj08/manifest.json
obj09,Luis Gonzales Posada,CHULLA_QHARI_HINA_PUNCHAYNIYKIPI_LLAQTALLAY.pdf,Ch'ulla Qhari Hina P'unchayniykipi Llaqtallay," 29 Jul, 1975",,,9,Periódico,"Lima, Peru ",8,cronicawan_item,cronicawan,"/img/derivatives/iiif/images/obj09_00/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj09_00/full/1140,/0/default.jpg",/img/derivatives/iiif/obj09/manifest.json
obj10,Luis Gonzales Posada,KAWSAY_PACHA_TIJRAQ.pdf,¡Kawsay! Pacha T'ijraq," 5 Aug, 1975",,,10,Periódico,"Lima, Peru ",9,cronicawan_item,cronicawan,"/img/derivatives/iiif/images/obj10_00/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj10_00/full/1140,/0/default.jpg",/img/derivatives/iiif/obj10/manifest.json
